,Ano,Estado,Exportação,Importação
0,1997,São Paulo,18079881143,28489007665
1,1997,Minas Gerais,7217634839,5234235094
2,1997,Rio Grande do Sul,6267496953,4248237144
3,1997,Paraná,4849631130,3977163979
4,1997,Santa Catarina,2801706307,3773619694
5,1997,Espírito Santo,2547152306,3621609530
6,1997,Pará,2263399451,3359610552
7,1997,Bahia,1866466198,1594454255
8,1997,Rio de Janeiro,1731766170,1489815204
9,1997,Mato Grosso,926916547,915758413
10,1997,Maranhão,744456825,691244505
11,1997,Goiás,475435888,412212171
12,1997,Mato Grosso do Sul,383396566,300315241
13,1997,Pernambuco,372455512,222085190
14,1997,Ceará,352451744,218334489
15,1997,Alagoas,340730844,207907171
16,1997,Amazonas,193419713,144287941
17,1997,Rio Grande do Norte,93532824,128914689
18,1997,Paraíba,85486857,126539998
19,1997,Amapá,64117017,121255968
20,1997,Piauí,60806519,48470754
21,1997,Sergipe,39482469,42427821
22,1997,Rondônia,37362218,33638731
23,1997,Tocantins,9797289,32456374
24,1997,Distrito Federal,8033052,25963801
25,1997,Roraima,2582893,17926244
26,1997,Acre,206754,5985639
27,1998,São Paulo,18201722716,27784204901
28,1998,Minas Gerais,7580183316,4834468312
29,1998,Rio Grande do Sul,5626536764,4242878859
30,1998,Paraná,4217015109,4070445022
31,1998,Santa Catarina,2604374179,3869996999
32,1998,Espírito Santo,2408377973,3232243239
33,1998,Pará,2208291409,2984097581
34,1998,Bahia,1828966423,1523847127
35,1998,Rio de Janeiro,1773504054,1350395115
36,1998,Mato Grosso,652207452,961397150
37,1998,Maranhão,635917861,619065068
38,1998,Goiás,381556058,385296892
39,1998,Pernambuco,362043437,315361146
40,1998,Ceará,354850395,283305814
41,1998,Alagoas,291756158,258546243
42,1998,Amazonas,265210781,169077560
43,1998,Mato Grosso do Sul,175350946,162274964
44,1998,Rio Grande do Norte,101710952,153612445
45,1998,Amapá,62351972,109253572
46,1998,Piauí,58621602,91004172
47,1998,Paraíba,53338895,82244381
48,1998,Rondônia,37618981,39404920
49,1998,Sergipe,31209504,23622271
50,1998,Tocantins,13418859,19413598
51,1998,Distrito Federal,4889723,17007074
52,1998,Roraima,2482126,10313591
53,1998,Acre,834242,901789
54,1999,São Paulo,17508573935,23408020243
55,1999,Minas Gerais,6373084506,4441781666
56,1999,Rio Grande do Sul,4994940581,3704123174
57,1999,Paraná,3930561564,3232024930
58,1999,Santa Catarina,2563284172,3075688506
59,1999,Espírito Santo,2446460564,2819633663
60,1999,Pará,2134929293,2539159029
61,1999,Rio de Janeiro,1636982532,1486452119
62,1999,Bahia,1580730936,939931103
63,1999,Mato Grosso,739598546,764802518
64,1999,Maranhão,662936463,662717731
65,1999,Amazonas,428083964,593477253
66,1999,Ceará,370812315,367027196
67,1999,Goiás,325741291,310377172
68,1999,Pernambuco,265768960,179924211
69,1999,Alagoas,224947510,179692340
70,1999,Mato Grosso do Sul,217263287,126770953
71,1999,Rio Grande do Norte,115407941,98166473
72,1999,Paraíba,62684923,68967919
73,1999,Rondônia,55449471,61953684
74,1999,Piauí,49127465,50972540
75,1999,Amapá,44987342,23182601
76,1999,Sergipe,21955973,22035836
77,1999,Distrito Federal,9011565,11401088
78,1999,Tocantins,8024348,7158232
79,1999,Roraima,1712543,2115195
80,1999,Acre,1294459,745604
81,2000,São Paulo,19768583518,25775456578
82,2000,Minas Gerais,6704680822,5035432759
83,2000,Rio Grande do Sul,5770544520,4692822119
84,2000,Paraná,4379503505,4048409948
85,2000,Espírito Santo,2771756964,3825804744
86,2000,Santa Catarina,2709715414,2799539569
87,2000,Pará,2439752000,2391061151
88,2000,Bahia,1942413613,2238743029
89,2000,Rio de Janeiro,1835332180,1013931076
90,2000,Mato Grosso,1032963884,954877107
91,2000,Amazonas,768044372,730361466
92,2000,Maranhão,752397646,508019180
93,2000,Goiás,544757227,485050514
94,2000,Ceará,494800400,369284304
95,2000,Pernambuco,283806387,276211417
96,2000,Mato Grosso do Sul,253068683,163768094
97,2000,Alagoas,224351239,149303582
98,2000,Rio Grande do Norte,149360765,93743326
99,2000,Paraíba,77577104,92905045
100,2000,Piauí,63344803,66784838
101,2000,Rondônia,59257410,66617359
102,2000,Amapá,35998815,45022319
103,2000,Sergipe,29729032,28278223
104,2000,Tocantins,8310978,15839938
105,2000,Roraima,2586176,13689677
106,2000,Distrito Federal,1610129,5772612
107,2000,Acre,1545989,3695351
108,2001,São Paulo,20535879067,24708581624
109,2001,Rio Grande do Sul,6341332668,6133911785
110,2001,Minas Gerais,6051671166,4936910298
111,2001,Paraná,5312332713,3321442878
112,2001,Santa Catarina,3024902792,3253204936
113,2001,Rio de Janeiro,2384432092,3005057867
114,2001,Espírito Santo,2378382693,2348250435
115,2001,Pará,2287165822,2268998249
116,2001,Bahia,2118965914,1014013827
117,2001,Mato Grosso,1395403094,895829775
118,2001,Amazonas,847110291,830349374
119,2001,Goiás,593745717,636987786
120,2001,Maranhão,544292788,567229815
121,2001,Ceará,526163025,391483882
122,2001,Mato Grosso do Sul,472876361,287382209
123,2001,Pernambuco,334552332,273960145
124,2001,Alagoas,304408368,148271336
125,2001,Rio Grande do Norte,187455758,100784322
126,2001,Paraíba,105143941,86265540
127,2001,Rondônia,56444861,86185711
128,2001,Piauí,39928816,63957584
129,2001,Amapá,30453426,38361950
130,2001,Sergipe,20771154,15161363
131,2001,Distrito Federal,6680562,11191181
132,2001,Acre,5815524,8120708
133,2001,Roraima,4376571,5352397
134,2001,Tocantins,3919041,3450059
135,2002,São Paulo,20032799754,19926825433
136,2002,Rio Grande do Sul,6372043386,6093173137
137,2002,Minas Gerais,6338318108,3338946933
138,2002,Paraná,5687363164,3081105716
139,2002,Rio de Janeiro,3615989637,2833776184
140,2002,Santa Catarina,3152814561,2510105285
141,2002,Espírito Santo,2536302090,1904025730
142,2002,Bahia,2405648461,1869908623
143,2002,Pará,2266096843,943467433
144,2002,Mato Grosso,1794971686,868001282
145,2002,Amazonas,1063303613,803337920
146,2002,Maranhão,652367484,601717803
147,2002,Goiás,648689964,584650094
148,2002,Ceará,542933555,421896424
149,2002,Mato Grosso do Sul,384056955,325254072
150,2002,Pernambuco,319768334,252885351
151,2002,Alagoas,298645731,215002102
152,2002,Rio Grande do Norte,223351394,124233846
153,2002,Paraíba,117624062,116882689
154,2002,Rondônia,73065595,99292401
155,2002,Piauí,48062938,93018912
156,2002,Sergipe,37564281,78627640
157,2002,Distrito Federal,27155567,26765106
158,2002,Amapá,16366660,12655695
159,2002,Tocantins,16208440,8223839
160,2002,Roraima,6022253,3635743
161,2002,Acre,3818162,2191647
162,2003,São Paulo,22965163908,20438783376
163,2003,Rio Grande do Sul,8009358402,5659179382
164,2003,Minas Gerais,7430674613,3494041793
165,2003,Paraná,7132002830,3477432824
166,2003,Rio de Janeiro,4779717322,3415175247
167,2003,Santa Catarina,3693333205,2431149902
168,2003,Espírito Santo,3445095129,2073750878
169,2003,Bahia,3255970777,1932425287
170,2003,Pará,2675263401,990033502
171,2003,Mato Grosso,2185576860,720283307
172,2003,Amazonas,1299255292,661974678
173,2003,Goiás,1097998799,554890959
174,2003,Ceará,760635154,538585977
175,2003,Maranhão,739538049,501873451
176,2003,Mato Grosso do Sul,497891494,366529019
177,2003,Pernambuco,410548706,295345122
178,2003,Alagoas,360908089,289228553
179,2003,Rio Grande do Norte,310145557,169214119
180,2003,Paraíba,168249515,95064887
181,2003,Rondônia,97588349,59874368
182,2003,Piauí,58297810,49765213
183,2003,Tocantins,45580963,19650262
184,2003,Sergipe,38813123,16247826
185,2003,Amapá,19563125,10295211
186,2003,Distrito Federal,14771006,4981913
187,2003,Acre,5337060,2306729
188,2003,Roraima,3825238,817738
189,2004,São Paulo,30976612347,27217823998
190,2004,Minas Gerais,9986535057,7488035923
191,2004,Rio Grande do Sul,9875302363,4281042749
192,2004,Paraná,9382205451,4165510801
193,2004,Rio de Janeiro,5833853575,4031549919
194,2004,Santa Catarina,4846758692,3013625237
195,2004,Bahia,4056328752,2986966900
196,2004,Espírito Santo,4053203167,2886474144
197,2004,Pará,3800046980,1493799867
198,2004,Mato Grosso,3096163313,790463579
199,2004,Goiás,1409278739,741051254
200,2004,Maranhão,1208880409,735912711
201,2004,Amazonas,1155165324,606740955
202,2004,Ceará,858463903,574765911
203,2004,Mato Grosso do Sul,643331630,508891249
204,2004,Rio Grande do Norte,573259175,439207676
205,2004,Pernambuco,516589933,274252161
206,2004,Alagoas,457657629,139884570
207,2004,Paraíba,213893580,98473791
208,2004,Rondônia,133128971,98016232
209,2004,Tocantins,116335511,68226624
210,2004,Piauí,73264261,32819641
211,2004,Sergipe,47640195,28294380
212,2004,Amapá,46873576,22785289
213,2004,Distrito Federal,28870149,16586485
214,2004,Acre,7663456,2551074
215,2004,Roraima,5272946,592582
216,2005,São Paulo,37953851194,30756129698
217,2005,Minas Gerais,13490538978,8547647062
218,2005,Rio Grande do Sul,10445921164,5179643062
219,2005,Paraná,10007040069,4807099236
220,2005,Rio de Janeiro,8126395203,4528220909
221,2005,Bahia,5983671855,3948117167
222,2005,Espírito Santo,5590896687,3925559513
223,2005,Santa Catarina,5580838268,3257905532
224,2005,Pará,4756257751,2140802559
225,2005,Mato Grosso,4137246332,1156667421
226,2005,Amazonas,2143714373,1059064704
227,2005,Goiás,1810242676,805527981
228,2005,Maranhão,1494022919,742681582
229,2005,Mato Grosso do Sul,1145110983,727529381
230,2005,Ceará,929663085,590413701
231,2005,Pernambuco,783864529,423228009
232,2005,Alagoas,583779056,404788193
233,2005,Rio Grande do Norte,413107130,112336151
234,2005,Paraíba,227721884,97404846
235,2005,Rondônia,202606068,94081900
236,2005,Tocantins,152424796,89076229
237,2005,Amapá,76511159,27649268
238,2005,Sergipe,66423885,16583141
239,2005,Distrito Federal,59621908,14929580
240,2005,Piauí,58606397,13375592
241,2005,Acre,11339833,865354
242,2005,Roraima,8483257,501317
243,2006,São Paulo,45862604133,37312052578
244,2006,Minas Gerais,15634155162,9359054250
245,2006,Rio Grande do Sul,11709557288,6190254677
246,2006,Rio de Janeiro,11428528246,5989575149
247,2006,Paraná,9978622594,5863508228
248,2006,Bahia,6766611987,4877067647
249,2006,Pará,6705800127,4679806540
250,2006,Espírito Santo,6700427545,4411955564
251,2006,Santa Catarina,5993906762,3390690986
252,2006,Mato Grosso,4329450456,1725731766
253,2006,Goiás,2089256032,1720138407
254,2006,Maranhão,1709054854,1099277494
255,2006,Amazonas,1516730366,1019969108
256,2006,Mato Grosso do Sul,1003978158,995186436
257,2006,Ceará,955813113,857552278
258,2006,Pernambuco,780075632,644353222
259,2006,Alagoas,692542362,411377985
260,2006,Rio Grande do Norte,371477063,169521010
261,2006,Rondônia,307424088,142161887
262,2006,Paraíba,208589087,116234306
263,2006,Tocantins,203460645,87935604
264,2006,Amapá,127980007,62168830
265,2006,Sergipe,78939173,26622380
266,2006,Distrito Federal,65659981,24718643
267,2006,Piauí,47127095,10814395
268,2006,Acre,17795969,2022222
269,2006,Roraima,15358447,1217930
270,2007,São Paulo,51384039902,48669663989
271,2007,Minas Gerais,18327225157,11918071078
272,2007,Rio Grande do Sul,14890390055,9048513723
273,2007,Rio de Janeiro,13690040145,7727078139
274,2007,Paraná,12319415657,6899584207
275,2007,Pará,7906752590,6489305701
276,2007,Santa Catarina,7427553648,6341966930
277,2007,Bahia,7405866968,5332819901
278,2007,Espírito Santo,6830138143,4991935890
279,2007,Mato Grosso,5142043293,2322870478
280,2007,Goiás,3180629441,2277525627
281,2007,Maranhão,2154399730,1721108871
282,2007,Mato Grosso do Sul,1296208010,1697397895
283,2007,Ceará,1145625098,1410749608
284,2007,Amazonas,1098007317,1132232553
285,2007,Pernambuco,868781266,771147455
286,2007,Alagoas,663661517,639028298
287,2007,Rondônia,455504567,305383273
288,2007,Rio Grande do Norte,379709145,239259499
289,2007,Paraíba,235355076,152265506
290,2007,Tocantins,154970414,134686069
291,2007,Sergipe,144257193,78697307
292,2007,Amapá,127958946,73899895
293,2007,Distrito Federal,81092286,52904982
294,2007,Piauí,56645059,43822797
295,2007,Acre,17744754,1646936
296,2007,Roraima,16272558,1262552
297,2008,São Paulo,57206354406,66974111439
298,2008,Minas Gerais,24382637296,17928767687
299,2008,Rio de Janeiro,17845646033,14621110709
300,2008,Rio Grande do Sul,17444450060,10752220944
301,2008,Paraná,15165022233,10455224462
302,2008,Pará,10669909479,10117446525
303,2008,Espírito Santo,9958533170,8189565065
304,2008,Bahia,8688532998,7964717817
305,2008,Santa Catarina,8291122890,6254992508
306,2008,Mato Grosso,7807694829,4102320685
307,2008,Goiás,4081683284,3865296073
308,2008,Maranhão,2835975772,3041052640
309,2008,Mato Grosso do Sul,2091476813,2473572592
310,2008,Ceará,1274387295,1562944914
311,2008,Amazonas,1258109343,1278148740
312,2008,Pernambuco,934796622,1082476406
313,2008,Alagoas,876554213,1011901772
314,2008,Rondônia,579611165,395363282
315,2008,Rio Grande do Norte,347115467,219991793
316,2008,Tocantins,297684013,207506242
317,2008,Paraíba,226860199,192100326
318,2008,Amapá,192440032,161229787
319,2008,Distrito Federal,165136282,142823936
320,2008,Piauí,136898669,71686130
321,2008,Sergipe,111606957,44456856
322,2008,Acre,21951663,2450122
323,2008,Roraima,15605883,1140621
324,2009,São Paulo,41856994487,50798130278
325,2009,Minas Gerais,19475690281,13758874817
326,2009,Rio Grande do Sul,15200526946,9638019023
327,2009,Rio de Janeiro,13162813513,7351741351
328,2009,Paraná,11125061098,7255351298
329,2009,Mato Grosso,8419357450,7156000420
330,2009,Pará,8344151318,7086233042
331,2009,Bahia,6969443405,5333837378
332,2009,Santa Catarina,6406497179,4650078678
333,2009,Espírito Santo,5986930339,2848105721
334,2009,Goiás,3609120767,2776858928
335,2009,Mato Grosso do Sul,1889607760,1993387454
336,2009,Maranhão,1231915252,1980039789
337,2009,Ceará,1077670757,1226233961
338,2009,Amazonas,871653767,1102678558
339,2009,Alagoas,823950944,799680591
340,2009,Pernambuco,815217969,794552283
341,2009,Rondônia,390937346,432541163
